tool		SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/swap1.yml	true	true	1.388519	1.40159233400027	53.452800
jbmc-regression/synchronized.yml	true	true	1.832429	1.8478573430002143	54.992896
jbmc-regression/tableswitch1.yml	true	true	2.64111	2.6439847680003368	115.884032
jbmc-regression/uninitialised1.yml	true	true	1.774805	1.781652036000196	52.727808
jbmc-regression/virtual1.yml	true	true	1.421415	1.4437749659991823	53.944320
jbmc-regression/virtual2.yml	false	false	1.373585	1.3949096650003412	53.379072
jbmc-regression/virtual4.yml	true	true	1.370608	1.3817509880000216	53.444608
jbmc-regression/virtual_function_unwinding.yml	true	true	1.846976	1.854528382999888	53.260288
jpf-regression/ExDarko_false.yml	false	false	1.735384	1.746960198999659	101.339136
jpf-regression/ExDarko_true.yml	true	true	1.893458	1.9110864269996455	113.614848
jpf-regression/ExException_false.yml	false	false	1.676916	1.6800954049995198	100.429824
jpf-regression/ExException_true.yml	true	true	2.268066	2.2834974590005004	113.250304
jpf-regression/ExGenSymExe_false.yml	false	false	1.395506	1.403570388000844	53.059584
jpf-regression/ExGenSymExe_true.yml	true	true	1.853792	1.8647844510005598	53.891072
jpf-regression/ExLazy_false.yml	false	false	1.619617	1.6225003409999772	100.294656
jpf-regression/ExLazy_true.yml	true	true	1.633102	1.6478066350000518	100.249600
jpf-regression/ExMIT_false.yml	false	false	1.629133	1.6442529370006014	101.302272
jpf-regression/ExMIT_true.yml	true	true	1.765511	1.7742494750000333	112.181248
jpf-regression/ExSymExe10_false.yml	false	false	2.202383	2.213898203000099	103.403520
jpf-regression/ExSymExe10_true.yml	true	true	1.782246	1.795700964000389	113.324032
jpf-regression/ExSymExe11_false.yml	false	false	1.877299	1.8803207769997243	58.429440
jpf-regression/ExSymExe11_true.yml	true	true	1.675022	1.688071953999497	99.823616
jpf-regression/ExSymExe12_false.yml	false	false	1.658015	1.6748434360006286	101.761024
jpf-regression/ExSymExe12_true.yml	true	true	1.677559	1.6891871919997357	100.409344
jpf-regression/ExSymExe13_false.yml	false	false	2.251529	2.2550027879997288	102.633472
jpf-regression/ExSymExe13_true.yml	true	true	1.760289	1.7734152700004415	109.473792
jpf-regression/ExSymExe14_false.yml	false	false	1.909362	1.922331824000139	118.804480
jpf-regression/ExSymExe14_true.yml	true	true	2.4146	2.4256030630003806	114.393088
jpf-regression/ExSymExe15_false.yml	false	false	1.644616	1.6477100709998922	100.581376
jpf-regression/ExSymExe15_true.yml	true	true	1.83645	1.8586054920006063	114.872320
jpf-regression/ExSymExe16_false.yml	false	false	1.407751	1.4185494250004922	54.087680
jpf-regression/ExSymExe16_true.yml	true	true	1.433087	1.4463540140004625	54.161408
jpf-regression/ExSymExe17_false.yml	false	false	1.755932	1.7786169000000882	53.526528
jpf-regression/ExSymExe17_true.yml	true	true	1.348971	1.3708605359997819	53.460992
jpf-regression/ExSymExe18_false.yml	false	false	1.614218	1.6345738539994272	111.738880
jpf-regression/ExSymExe18_true.yml	true	true	1.871495	1.8952321570004642	54.386688
jpf-regression/ExSymExe19_false.yml	false	false	1.608505	1.611329459999979	101.703680
jpf-regression/ExSymExe19_true.yml	true	unknown	1.73321	1.7434310580001693	126.173184
jpf-regression/ExSymExe1_false.yml	false	unknown	1.806777	1.8196098600001278	134.332416
jpf-regression/ExSymExe1_true.yml	true	true	1.709977	1.7156915619998472	54.157312
jpf-regression/ExSymExe20_false.yml	false	unknown	3.039494	3.05104818000018	178.810880
jpf-regression/ExSymExe20_true.yml	true	true	1.824321	1.8283502080003018	54.177792
jpf-regression/ExSymExe21_false.yml	false	unknown	1.705821	1.7089847810002539	125.476864
jpf-regression/ExSymExe21_true.yml	true	true	1.395288	1.4084107799999401	53.415936
jpf-regression/ExSymExe25_false.yml	false	false	1.849041	1.8691474590004873	114.393088
jpf-regression/ExSymExe25_true.yml	true	true	1.855716	1.8755429349994301	54.181888
jpf-regression/ExSymExe26_false.yml	false	unknown	3.087737	3.101677930999358	134.430720
jpf-regression/ExSymExe26_true.yml	true	true	1.438547	1.4611791799998173	53.403648
jpf-regression/ExSymExe27_false.yml	false	false	1.811961	1.8306978210002853	114.290688
jpf-regression/ExSymExe27_true.yml	true	true	1.374591	1.387067546000253	54.554624
jpf-regression/ExSymExe28_false.yml	false	false	1.673343	1.6863636389998646	101.167104
jpf-regression/ExSymExe28_true.yml	true	true	1.757948	1.7613396119995741	54.005760
jpf-regression/ExSymExe29_false.yml	false	unknown	1.975714	1.9888300169996	170.749952
jpf-regression/ExSymExe29_true.yml	true	true	1.407108	1.4114559310000914	53.592064
jpf-regression/ExSymExe2_false.yml	false	unknown	1.72623	1.72943215199939	127.365120
jpf-regression/ExSymExe2_true.yml	true	true	1.366745	1.3791326169994136	53.268480
jpf-regression/ExSymExe3_false.yml	false	false	2.207305	2.218773365000743	101.191680
jpf-regression/ExSymExe3_true.yml	true	true	1.818674	1.8304578950001087	53.600256
jpf-regression/ExSymExe4_false.yml	false	unknown	1.805657	1.8179074879999462	140.451840
jpf-regression/ExSymExe4_true.yml	true	true	1.414893	1.4371059649993185	55.152640
jpf-regression/ExSymExe5_false.yml	false	false	1.823013	1.840549380000084	114.106368
jpf-regression/ExSymExe5_true.yml	true	true	1.401714	1.4126836939994973	53.166080
jpf-regression/ExSymExe6_false.yml	false	unknown	2.000746	2.0096986479993575	98.177024
jpf-regression/ExSymExe6_true.yml	true	true	1.818765	1.8269346130000486	53.256192
jpf-regression/ExSymExe7_false.yml	false	unknown	1.87336	1.8857011010004499	140.115968
jpf-regression/ExSymExe7_true.yml	true	unknown	1.74064	1.743779639999957	132.685824
jpf-regression/ExSymExe8_false.yml	false	unknown	1.649237	1.6568076840003414	127.614976
jpf-regression/ExSymExe8_true.yml	true	true	1.382473	1.4042098270001588	53.104640
jpf-regression/ExSymExe9_false.yml	false	false	1.804584	1.8173821009995663	53.301248
jpf-regression/ExSymExe9_true.yml	true	true	1.77125	1.7917471500004467	53.538816
jpf-regression/ExSymExeArrays_false.yml	false	false	1.365833	1.3787645969996447	56.913920
jpf-regression/ExSymExeArrays_true.yml	true	true	1.353159	1.3601428769998165	54.165504
jpf-regression/ExSymExeBool_false.yml	false	false	1.40253	1.4241358230001424	54.312960
jpf-regression/ExSymExeBool_true.yml	true	true	1.388424	1.4182698579998032	55.025664
jpf-regression/ExSymExeComplexMath_false.yml	false	false	1.434647	1.4424207770007342	55.693312
jpf-regression/ExSymExeComplexMath_true.yml	true	true	1.396335	1.4088591859999724	53.428224
jpf-regression/ExSymExeD2I_false.yml	false	false	1.383566	1.3975210440003139	53.153792
jpf-regression/ExSymExeD2I_true.yml	true	true	1.930479	1.9491648550001628	81.952768
jpf-regression/ExSymExeD2L_false.yml	false	true	1.980754	2.0012531070005934	81.940480
jpf-regression/ExSymExeD2L_true.yml	true	true	1.472962	1.4948907250000047	82.726912
jpf-regression/ExSymExeF2I_false.yml	false	false	1.380935	1.39504787199985	52.957184
jpf-regression/ExSymExeF2I_true.yml	true	true	1.472552	1.4831631490005748	77.746176
jpf-regression/ExSymExeF2L_false.yml	false	true	1.509061	1.529836239999895	83.267584
jpf-regression/ExSymExeF2L_true.yml	true	true	1.486675	1.4897634580001977	79.986688
jpf-regression/ExSymExeFNEG_false.yml	false	true	1.941005	1.9545208750005258	78.438400
jpf-regression/ExSymExeFNEG_true.yml	true	true	1.865461	1.876031246999446	77.725696
jpf-regression/ExSymExeGetStatic_false.yml	false	false	1.410733	1.4238735480003015	53.772288
jpf-regression/ExSymExeGetStatic_true.yml	true	true	1.360805	1.372455209000691	53.231616
jpf-regression/ExSymExeI2D_false.yml	false	true	1.614034	1.617257797000093	99.905536
jpf-regression/ExSymExeI2D_true.yml	true	true	1.722269	1.741729014000157	114.810880
jpf-regression/ExSymExeI2F_false.yml	false	false	1.806683	1.8251910089993544	53.592064
jpf-regression/ExSymExeI2F_true.yml	true	true	2.294971	2.3014320820002467	111.411200
jpf-regression/ExSymExeLCMP_false.yml	false	unknown	1.64333	1.6564945099999022	101.384192
jpf-regression/ExSymExeLCMP_true.yml	true	true	1.700225	1.7102697200007242	113.049600
jpf-regression/ExSymExeLongBytecodes_false.yml	false	unknown	1.625202	1.6282045440002548	101.212160
jpf-regression/ExSymExeLongBytecodes_true.yml	true	true	1.999652	2.0158812710005805	124.493824
jpf-regression/ExSymExeResearch_false.yml	false	false	2.709512	2.7216979140002877	123.695104
jpf-regression/ExSymExeResearch_true.yml	true	true	1.861156	1.8643948469998577	117.891072
jpf-regression/ExSymExeSimple_false.yml	false	false	1.644345	1.6601843819998976	100.655104
jpf-regression/ExSymExeSimple_true.yml	true	true	2.251325	2.264253097000619	100.687872
jpf-regression/ExSymExeSuzette_false.yml	false	false	1.763189	1.7758948099999543	101.400576
jpf-regression/ExSymExeSuzette_true.yml	true	true	1.669882	1.678688695999881	109.555712
jpf-regression/ExSymExeSwitch_false.yml	false	false	1.660426	1.6636762529997213	101.601280
jpf-regression/ExSymExeSwitch_true.yml	true	true	1.610394	1.6236120359999404	100.380672
jpf-regression/ExSymExeTestAssignments_false.yml	false	false	1.684036	1.6928247389996613	101.040128
jpf-regression/ExSymExeTestAssignments_true.yml	true	true	2.173376	2.184119364000253	100.442112
jpf-regression/ExSymExeTestClassFields_false.yml	false	false	2.131638	2.1349805680001737	101.576704
jpf-regression/ExSymExeTestClassFields_true.yml	true	true	1.726867	1.74208096700022	113.205248
